"MDRO","HIS.Species","Service","Median.Time.Until.Rehospitalization"
"N/A","Feline","Emergency Critical Care - Weekdays",-75.3333333333333
"N/A","Feline","Held Open",-32.3083333333333
"N/A","Feline","Hospital Visit",-5.96666666666667
"N/A","Feline","Offsite Visit",646.325
"N/A","Feline","Patient Service",-0.0166666666666667
"N/A","Feline","Priority for Paws",-0.0166666666666667
"N/A","Other Large","Field Visit",-0.0166666666666667
"N/A","Other Large","Hospital Visit",-67.4333333333333
"N/A","Other Large","Patient Service",-0.0166666666666667
"N/A","Other Small","Emergency Critical Care",-1.41666666666667
"N/A","Other Small","Emergency Critical Care - Weekdays",-6.81666666666667
"N/A","Other Small","Hospital Visit",-2.95833333333333
"N/A","Other Small","Offsite Visit",-0.0166666666666667
"N/A","Other Small","Patient Service",-0.0166666666666667
"N/A","Ovine","Field Visit",555.083333333333
"N/A","Ovine","Hospital Visit",-6.11666666666667
"N/A","Ovine","Patient Service",-0.0166666666666667
"N/A","Porcine","Field Visit",-0.0166666666666667
"N/A","Porcine","Hospital Visit",-79.35
"N/A","Porcine","Patient Service",-0.0166666666666667
"TRUE","Avian","Emergency Critical Care",-2.35
"TRUE","Avian","Emergency Critical Care - Weekdays",-4.33333333333333
"TRUE","Avian","Hospital Visit",-2.31666666666667
"TRUE","Bovine","Field Visit",-0.0166666666666667
"TRUE","Bovine","Hospital Visit",-144.7
"TRUE","Bovine","Patient Service",-0.0166666666666667
"TRUE","Canine","Emergency Critical Care",-69.95
"TRUE","Canine","Emergency Critical Care - Weekdays",-71.55
"TRUE","Canine","Held Open",-49.975
"TRUE","Canine","Hospital Visit",-3.88333333333333
"TRUE","Canine","Patient Service",408.25
"TRUE","Canine","Priority for Paws",1326.3
"TRUE","Caprine","Hospital Visit",-187.266666666667
"TRUE","Equine","Field Visit",-0.0166666666666667
"TRUE","Equine","Hospital Visit",-213.633333333333
"TRUE","Equine","Patient Service",432.383333333333
"TRUE","Feline","Emergency Critical Care",-69.8333333333333
"TRUE","Feline","Emergency Critical Care - Weekdays",-94.9166666666667
"TRUE","Feline","Held Open",688.2
"TRUE","Feline","Hospital Visit",-5.35
"TRUE","Feline","Offsite Visit",791.583333333333
"TRUE","Feline","Patient Service",755.625
"TRUE","Other Large","Hospital Visit",-84.1916666666667
"TRUE","Other Large","Patient Service",-0.0166666666666667
"TRUE","Other Small","Emergency Critical Care",-17.2833333333333
"TRUE","Other Small","Emergency Critical Care - Weekdays",-4.81666666666667
"TRUE","Other Small","Hospital Visit",-2.35
"TRUE","Other Small","Offsite Visit",-0.0166666666666667
"TRUE","Other Small","Patient Service",-0.0166666666666667
"TRUE","Ovine","Hospital Visit",-223
"TRUE","Porcine","Field Visit",-0.0166666666666667
"TRUE","Porcine","Hospital Visit",-261.833333333333
