Reason,updated_reason,Slizovskiy_reason
Euthanasia only,Uncategorized,
Euthanasia only,Uncategorized,
Euthanasia only,Uncategorized,
pre-blocking check,Uncategorized,
pre-blocking check,Uncategorized,
eval-port.,Uncategorized,
eval-port.,Uncategorized,
Throat Sx,Uncategorized,
Throat Sx,Uncategorized,
Throat Sx,Uncategorized,
work up chronic hepititis,Uncategorized,
work up chronic hepititis,Uncategorized,
shock wave litho- ESWL   *ICU 9/20*,Uncategorized,Urinary Issues
shock wave litho- ESWL   *ICU 9/20*,Uncategorized,Urinary Issues
work up- feline hypercalcemia,Uncategorized,
work up- feline hypercalcemia,Uncategorized,
work up for lithotripsy  **ICU 9/21**,Uncategorized,Urinary Issues
work up for lithotripsy  **ICU 9/21**,Uncategorized,Urinary Issues
work up for uveitis & vauge systemic illness,Uncategorized,
work up for uveitis & vauge systemic illness,Uncategorized,
REFERRAL - Addison's Disease **ICU 9-28-13**,Uncategorized,
REFERRAL - Addison's Disease **ICU 9-28-13**,Uncategorized,
consult TECA sx    *ICu 9/23*,Uncategorized,HEENT
consult TECA sx    *ICu 9/23*,Uncategorized,HEENT
consult TECA sx    *ICu 9/23*,Uncategorized,HEENT
consult TECA sx    *ICu 9/23*,Uncategorized,HEENT
consult TECA sx    *ICu 9/23*,Uncategorized,HEENT
labs,Uncategorized,
Urethral Obstruction  *ICU 9/24*,Uncategorized,Urinary Issues
Urethral Obstruction  *ICU 9/24*,Uncategorized,Urinary Issues
pills are not working and bronchitis is getting worse  *ICU 9/24*,Uncategorized,Respiratory Issues
pills are not working and bronchitis is getting worse  *ICU 9/24*,Uncategorized,Respiratory Issues
pills are not working and bronchitis is getting worse  *ICU 9/24*,Uncategorized,Respiratory Issues
Culture,Uncategorized,Infectious Diseases
Culture,Uncategorized,Infectious Diseases
poss. respiratory problems,Uncategorized,Respiratory Issues
poss. respiratory problems,Uncategorized,Respiratory Issues
poss. respiratory problems,Uncategorized,Respiratory Issues
poss. respiratory problems,Uncategorized,Respiratory Issues
poss. respiratory problems,Uncategorized,Respiratory Issues
EMERG- pleural effusion,Uncategorized,Respiratory Issues
EMERG- pleural effusion,Uncategorized,Respiratory Issues
EMERG- pleural effusion,Uncategorized,Respiratory Issues
EMERG- pleural effusion,Uncategorized,Respiratory Issues
TECA,Uncategorized,HEENT
"Ref EMG - dragging rear leg
*ICU 10/2*",Uncategorized,Musculoskeletal Issues
"Ref EMG - dragging rear leg
*ICU 10/2*",Uncategorized,Musculoskeletal Issues
"Referral EMG - work up for pancretitis, septic  *ICU 10/4*",Uncategorized,Infectious Diseases
"Referral EMG - work up for pancretitis, septic  *ICU 10/4*",Uncategorized,Infectious Diseases
mid shaft transverse fx,Uncategorized,Musculoskeletal Issues
mid shaft transverse fx,Uncategorized,Musculoskeletal Issues
mid shaft transverse fx,Uncategorized,Musculoskeletal Issues
"EMERG-blocked ureter stones
 **ICU 10/3",Uncategorized,Urinary Issues
"EMERG-blocked ureter stones
 **ICU 10/3",Uncategorized,Urinary Issues
"EMERG-blocked ureter stones
 **ICU 10/3",Uncategorized,Urinary Issues
follow up,Uncategorized,
follow up,Uncategorized,
follow up,Uncategorized,
follow up,Uncategorized,
check hyperthyroid workup,Uncategorized,
check hyperthyroid workup,Uncategorized,
work up - litho uretheral stones  **ICU 10/5**,Uncategorized,Urinary Issues
work up - litho uretheral stones  **ICU 10/5**,Uncategorized,Urinary Issues
work up - litho uretheral stones  **ICU 10/5**,Uncategorized,Urinary Issues
work up - litho uretheral stones  **ICU 10/5**,Uncategorized,Urinary Issues
work up - litho uretheral stones  **ICU 10/5**,Uncategorized,Urinary Issues
work up - litho uretheral stones  **ICU 10/5**,Uncategorized,Urinary Issues
work up - litho uretheral stones  **ICU 10/5**,Uncategorized,Urinary Issues
work up - litho uretheral stones  **ICU 10/5**,Uncategorized,Urinary Issues
"BGC, workup
 **ICU 10/3",Uncategorized,
"BGC, workup
 **ICU 10/3",Uncategorized,
seroma,Uncategorized,
seroma,Uncategorized,
seroma,Uncategorized,
kidney stones  *ICU 10/8*,Uncategorized,Urinary Issues
kidney stones  *ICU 10/8*,Uncategorized,Urinary Issues
kidney stones  *ICU 10/8*,Uncategorized,Urinary Issues
kidney stones  *ICU 10/8*,Uncategorized,Urinary Issues
kidney stones  *ICU 10/8*,Uncategorized,Urinary Issues
kidney stones  *ICU 10/8*,Uncategorized,Urinary Issues
kidney stones  *ICU 10/8*,Uncategorized,Urinary Issues
kidney stones  *ICU 10/8*,Uncategorized,Urinary Issues
laser lithotripsy - stones,Uncategorized,Urinary Issues
laser lithotripsy - stones,Uncategorized,Urinary Issues
obstructed,Uncategorized,
obstructed,Uncategorized,
obstructed,Uncategorized,
obstructed,Uncategorized,
obstructed,Uncategorized,
milk sample,Uncategorized,
meds,Uncategorized,
meds,Uncategorized,
Urinating Blood,Uncategorized,Urinary Issues
foreign body in cornea,Uncategorized,HEENT
foreign body in cornea,Uncategorized,HEENT
foreign body in cornea,Uncategorized,HEENT
work up-low kidney function,Uncategorized,Urinary Issues
work up-low kidney function,Uncategorized,Urinary Issues
allergies,Uncategorized,
allergies,Uncategorized,
allergies,Uncategorized,
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
EMERG: exopthalmos OD  *ICU 10/12/13*,Uncategorized,HEENT
evisceration w prosthesis * ICU 10/11*,Uncategorized,
evisceration w prosthesis * ICU 10/11*,Uncategorized,
"workup- tem up and down, depressed",Uncategorized,Behavior
"workup- tem up and down, depressed",Uncategorized,Behavior
"workup- tem up and down, depressed",Uncategorized,Behavior
"workup- tem up and down, depressed",Uncategorized,Behavior
"workup- tem up and down, depressed",Uncategorized,Behavior
Aerobic culture,Uncategorized,
Aerobic culture,Uncategorized,
work-up- dyspnea,Uncategorized,Respiratory Issues
work-up- dyspnea,Uncategorized,Respiratory Issues
drop off for BGC and U/A,Uncategorized,
drop off for BGC and U/A,Uncategorized,
blood work/ fetus,Uncategorized,Reproductive Issues
blood work/ fetus,Uncategorized,Reproductive Issues
blood work/ fetus,Uncategorized,Reproductive Issues
blood work/ fetus,Uncategorized,Reproductive Issues
blood work/ fetus,Uncategorized,Reproductive Issues
blood work/ fetus,Uncategorized,Reproductive Issues
blood work/ fetus,Uncategorized,Reproductive Issues
"poss grand mal seizure, rem, salivating, still reacts when called, about 1 hr",Uncategorized,Neurological Issues
"poss grand mal seizure, rem, salivating, still reacts when called, about 1 hr",Uncategorized,Neurological Issues
anterior venus fistula front leg,Uncategorized,
anterior venus fistula front leg,Uncategorized,
anterior venus fistula front leg,Uncategorized,
"repro check 1st, Broken LF bone out",Uncategorized,Reproductive Issues
REFFERAl: Obstructed Urethral *ICU 10/18*,Uncategorized,Urinary Issues
REFFERAl: Obstructed Urethral *ICU 10/18*,Uncategorized,Urinary Issues
REFFERAl: Obstructed Urethral *ICU 10/18*,Uncategorized,Urinary Issues
REFERRAL - both kidneys obstructed  **icu 11/17**,Uncategorized,Urinary Issues
REFERRAL - both kidneys obstructed  **icu 11/17**,Uncategorized,Urinary Issues
eval fx,Uncategorized,Musculoskeletal Issues
eval fx,Uncategorized,Musculoskeletal Issues
workup,Uncategorized,
workup,Uncategorized,
Drop off for sx,Uncategorized,
Drop off for sx,Uncategorized,
Drop off for sx,Uncategorized,
BGC and UA,Uncategorized,
fetus necropsy,Uncategorized,Reproductive Issues
fetus necropsy,Uncategorized,Reproductive Issues
fetus necropsy,Uncategorized,Reproductive Issues
fetus necropsy,Uncategorized,Reproductive Issues
fetus necropsy,Uncategorized,Reproductive Issues
fetus necropsy,Uncategorized,Reproductive Issues
fetus necropsy,Uncategorized,Reproductive Issues
fetus necropsy,Uncategorized,Reproductive Issues
"Going in and out of litter box, unable to urinate  **ICU 10/25**",Uncategorized,Urinary Issues
"Going in and out of litter box, unable to urinate  **ICU 10/25**",Uncategorized,Urinary Issues
CT scan *ICU 10/25*,Uncategorized,
CT scan *ICU 10/25*,Uncategorized,
CT scan *ICU 10/25*,Uncategorized,
poss. blockage ***ICU 10/25***,Uncategorized,Urinary Issues
poss. blockage ***ICU 10/25***,Uncategorized,Urinary Issues
poss. blockage ***ICU 10/25***,Uncategorized,Urinary Issues
poss. blockage ***ICU 10/25***,Uncategorized,Urinary Issues
chronic KD,Uncategorized,Urinary Issues
chronic KD,Uncategorized,Urinary Issues
chronic KD,Uncategorized,Urinary Issues
surgery right hind foot,Uncategorized,Musculoskeletal Issues
surgery right hind foot,Uncategorized,Musculoskeletal Issues
surgery right hind foot,Uncategorized,Musculoskeletal Issues
surgery right hind foot,Uncategorized,Musculoskeletal Issues
Front foot injury *ICU 10/29*,Uncategorized,Musculoskeletal Issues
Front foot injury *ICU 10/29*,Uncategorized,Musculoskeletal Issues
Front foot injury *ICU 10/29*,Uncategorized,Musculoskeletal Issues
kidney failure,Uncategorized,Urinary Issues
kidney failure,Uncategorized,Urinary Issues
squinting and discharge,Uncategorized,HEENT
suspect ectopic ureter,Uncategorized,Reproductive Issues
suspect ectopic ureter,Uncategorized,Reproductive Issues
lithotripsy,Uncategorized,Urinary Issues
lithotripsy,Uncategorized,Urinary Issues
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
laser lithotripsy *ICU 11/1*,Uncategorized,Urinary Issues
laser lithotripsy *ICU 11/1*,Uncategorized,Urinary Issues
laser lithotripsy *ICU 11/1*,Uncategorized,Urinary Issues
laser lithotripsy *ICU 11/1*,Uncategorized,Urinary Issues
Jaundice- suspect blockage of bile duct,Uncategorized,Gastrointestinal and Abdominal Issues
Jaundice- suspect blockage of bile duct,Uncategorized,Gastrointestinal and Abdominal Issues
Jaundice- suspect blockage of bile duct,Uncategorized,Gastrointestinal and Abdominal Issues
Jaundice- suspect blockage of bile duct,Uncategorized,Gastrointestinal and Abdominal Issues
Jaundice- suspect blockage of bile duct,Uncategorized,Gastrointestinal and Abdominal Issues
Referral EMG: hit by car *ICU 11/4*,Uncategorized,
Referral EMG: hit by car *ICU 11/4*,Uncategorized,
DOA - Necropsy,Uncategorized,
DOA - Necropsy,Uncategorized,
DOA - Necropsy,Uncategorized,
DOA - Necropsy,Uncategorized,
cystotomy *ICU 11/8*,Uncategorized,
cystotomy *ICU 11/8*,Uncategorized,
cystotomy *ICU 11/8*,Uncategorized,
endoscopy   *ICU 11/5*,Uncategorized,Gastrointestinal and Abdominal Issues
endoscopy   *ICU 11/5*,Uncategorized,Gastrointestinal and Abdominal Issues
trouble urinating again urethral stricture,Uncategorized,Urinary Issues
trouble urinating again urethral stricture,Uncategorized,Urinary Issues
corkscrew tail *ICU 11/7*,Uncategorized,
corkscrew tail *ICU 11/7*,Uncategorized,
corkscrew tail *ICU 11/7*,Uncategorized,
corkscrew tail *ICU 11/7*,Uncategorized,
"eval- uretheral obstruction
**** ICU 11/9 ****",Uncategorized,Urinary Issues
"eval- uretheral obstruction
**** ICU 11/9 ****",Uncategorized,Urinary Issues
Mastectomy,Uncategorized,
CT scan  Tech-Amalia,Uncategorized,
CT scan  Tech-Amalia,Uncategorized,
CT scan  Tech-Amalia,Uncategorized,
Bile leakage (hit by car fri morning) *11/13*,Uncategorized,Gastrointestinal and Abdominal Issues
Bile leakage (hit by car fri morning) *11/13*,Uncategorized,Gastrointestinal and Abdominal Issues
Bile leakage (hit by car fri morning) *11/13*,Uncategorized,Gastrointestinal and Abdominal Issues
Bile leakage (hit by car fri morning) *11/13*,Uncategorized,Gastrointestinal and Abdominal Issues
Bile leakage (hit by car fri morning) *11/13*,Uncategorized,Gastrointestinal and Abdominal Issues
Bile leakage (hit by car fri morning) *11/13*,Uncategorized,Gastrointestinal and Abdominal Issues
Right hind limb amputation,Uncategorized,Musculoskeletal Issues
Right hind limb amputation,Uncategorized,Musculoskeletal Issues
Right hind limb amputation,Uncategorized,Musculoskeletal Issues
frequent urination outside litter box,Uncategorized,Urinary Issues
Re-check from last night,Uncategorized,
Re-check from last night,Uncategorized,
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
chest xrays and CT scan *ICU 11/13*,Uncategorized,Respiratory Issues
eval wobblers  ***ICU 11/17/13***,Uncategorized,Neurological Issues
eval wobblers  ***ICU 11/17/13***,Uncategorized,Neurological Issues
eval wobblers  ***ICU 11/17/13***,Uncategorized,Neurological Issues
TECA - chronic otitis *ICU 11/19*,Uncategorized,HEENT
TECA - chronic otitis *ICU 11/19*,Uncategorized,HEENT
TECA - chronic otitis *ICU 11/19*,Uncategorized,HEENT
cysto,Uncategorized,
cysto,Uncategorized,
ear debulking sx,Uncategorized,HEENT
ear debulking sx,Uncategorized,HEENT
labwork,Uncategorized,
cultures,Uncategorized,
REFERRAL: Can't move on one side *ICU 11/19*,Uncategorized,
REFERRAL: Can't move on one side *ICU 11/19*,Uncategorized,
"Re-check, catheter *ICU 11/19*",Uncategorized,
"Re-check, catheter *ICU 11/19*",Uncategorized,
mircobiology,Uncategorized,
mircobiology,Uncategorized,
check incision,Uncategorized,Wound Care
check incision,Uncategorized,Wound Care
check incision,Uncategorized,Wound Care
check incision,Uncategorized,Wound Care
"drinking more  panting more,",Uncategorized,
LILA study  **ICU 11/23**,Uncategorized,
LILA study  **ICU 11/23**,Uncategorized,
LILA study  **ICU 11/23**,Uncategorized,
LILA study  **ICU 11/23**,Uncategorized,
LILA study  **ICU 11/23**,Uncategorized,
LILA study  **ICU 11/23**,Uncategorized,
possible CT scan MCT Tech: Amalia,Uncategorized,
possible CT scan MCT Tech: Amalia,Uncategorized,
work up for hypoglycemic epidode,Uncategorized,
work up for hypoglycemic epidode,Uncategorized,
cystotomy**11/21**,Uncategorized,
cystotomy**11/21**,Uncategorized,
cystotomy**11/21**,Uncategorized,
eval- kidney issues,Uncategorized,Urinary Issues
eval- kidney issues,Uncategorized,Urinary Issues
Donation: Nerve sensations,Uncategorized,Neurological Issues
Donation: Nerve sensations,Uncategorized,Neurological Issues
Donation: Nerve sensations,Uncategorized,Neurological Issues
Donation: Nerve sensations,Uncategorized,Neurological Issues
eval pu/pd  **ICU 11/21**,Uncategorized,
BGC,Uncategorized,
BGC,Uncategorized,
ear polyps  **ICU 11/23**,Uncategorized,HEENT
ear polyps  **ICU 11/23**,Uncategorized,HEENT
ear polyps  **ICU 11/23**,Uncategorized,HEENT
diabetic testing,Uncategorized,
drop off meniscl tear.,Uncategorized,Musculoskeletal Issues
drop off meniscl tear.,Uncategorized,Musculoskeletal Issues
drop off meniscl tear.,Uncategorized,Musculoskeletal Issues
cystoscope,Uncategorized,
cystoscope,Uncategorized,
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
Not doing well and temperature rising. Panting *ICU 11/24/13*,Uncategorized,Behavioral Issues
"breathing hard, losing weight, falling over",Uncategorized,Behavioral Issues
"breathing hard, losing weight, falling over",Uncategorized,Behavioral Issues
"breathing hard, losing weight, falling over",Uncategorized,Behavioral Issues
urinating  blood and is very very mean,Uncategorized,Urinary Issues
urinating  blood and is very very mean,Uncategorized,Urinary Issues
continued Diagnostics *ICU 11/26*,Uncategorized,
continued Diagnostics *ICU 11/26*,Uncategorized,
continued Diagnostics *ICU 11/26*,Uncategorized,
continued Diagnostics *ICU 11/26*,Uncategorized,
BGC,Uncategorized,
BGC,Uncategorized,
renal failure,Uncategorized,Urinary Issues
renal failure,Uncategorized,Urinary Issues
renal failure,Uncategorized,Urinary Issues
"cut on side, possibly HBC   *ICU 11/29*",Uncategorized,
"cut on side, possibly HBC   *ICU 11/29*",Uncategorized,
possible broken leg,Uncategorized,Musculoskeletal Issues
possible broken leg,Uncategorized,Musculoskeletal Issues
start RT,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
cultures,Uncategorized,
perineal hernia sx,Uncategorized,
perineal hernia sx,Uncategorized,
Lump on poll,Uncategorized,
Lump on poll,Uncategorized,
Lump on poll,Uncategorized,
Lump on poll,Uncategorized,
Lump on poll,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
salmonella,Uncategorized,
urinating blood,Uncategorized,Urinary Issues
Glucose curve,Uncategorized,
Glucose curve,Uncategorized,
eval unable to urinate *ICU 12/10*,Uncategorized,Urinary Issues
eval unable to urinate *ICU 12/10*,Uncategorized,Urinary Issues
EMG - fecal obstruction *ICU 12/12*,Uncategorized,Gastrointestinal and Abdominal Issues
EMG - fecal obstruction *ICU 12/12*,Uncategorized,Gastrointestinal and Abdominal Issues
sx for oral fistula,Uncategorized,HEENT
sx for oral fistula,Uncategorized,HEENT
sx for oral fistula,Uncategorized,HEENT
"U/S, cannot conceive",Uncategorized,Reproductive Issues
"U/S, cannot conceive",Uncategorized,Reproductive Issues
"U/S, cannot conceive",Uncategorized,Reproductive Issues
"U/S, cannot conceive",Uncategorized,Reproductive Issues
TECA *ICU 12/13*,Uncategorized,HEENT
TECA *ICU 12/13*,Uncategorized,HEENT
work up concern for extra hepatic shunt ***ICU 12/11***,Uncategorized,Gastrointestinal and Abdominal Issues
work up concern for extra hepatic shunt ***ICU 12/11***,Uncategorized,Gastrointestinal and Abdominal Issues
culture and ultrasound- hepatitis,Uncategorized,Gastrointestinal and Abdominal Issues
culture and ultrasound- hepatitis,Uncategorized,Gastrointestinal and Abdominal Issues
culture and ultrasound- hepatitis,Uncategorized,Gastrointestinal and Abdominal Issues
culture and ultrasound- hepatitis,Uncategorized,Gastrointestinal and Abdominal Issues
culture and ultrasound- hepatitis,Uncategorized,Gastrointestinal and Abdominal Issues
culture and ultrasound- hepatitis,Uncategorized,Gastrointestinal and Abdominal Issues
culture and ultrasound- hepatitis,Uncategorized,Gastrointestinal and Abdominal Issues
breathing rapidly x 4d.  *ICU 12/12*,Uncategorized,Respiratory Issues
breathing rapidly x 4d.  *ICU 12/12*,Uncategorized,Respiratory Issues
breathing rapidly x 4d.  *ICU 12/12*,Uncategorized,Respiratory Issues
breathing rapidly x 4d.  *ICU 12/12*,Uncategorized,Respiratory Issues
breathing rapidly x 4d.  *ICU 12/12*,Uncategorized,Respiratory Issues
breathing rapidly x 4d.  *ICU 12/12*,Uncategorized,Respiratory Issues
breathing rapidly x 4d.  *ICU 12/12*,Uncategorized,Respiratory Issues
breathing rapidly x 4d.  *ICU 12/12*,Uncategorized,Respiratory Issues
"limping left hind leg, getting progressively worse",Uncategorized,Musculoskeletal Issues
culture,Uncategorized,
Euth Only,Uncategorized,
Euth Only,Uncategorized,
"Abcess l hind leg, Broken R hind leg",Uncategorized,Infectious Diseases
"Abcess l hind leg, Broken R hind leg",Uncategorized,Infectious Diseases
AUS sx *ICU 12/18*,Uncategorized,
AUS sx *ICU 12/18*,Uncategorized,
rash ongoing for 3 months,Uncategorized,Dermatologic Issues
anesthesia and recovery problems with research chinchillas,Uncategorized,
anesthesia and recovery problems with research chinchillas,Uncategorized,
unable to urinate  **icu 12/19**,Uncategorized,Urinary Issues
unable to urinate  **icu 12/19**,Uncategorized,Urinary Issues
unable to urinate  **icu 12/19**,Uncategorized,Urinary Issues
"losing pounds, now actring strange",Uncategorized,Behavioral Issues
HBC,Uncategorized,Wound Care
HBC,Uncategorized,Wound Care
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
"Was in yesterday, not improving  *ICU 12/24*",Uncategorized,
Needs insulin injection,Uncategorized,
Needs insulin injection,Uncategorized,
X-ray head,Uncategorized,HEENT
"salmonella
",Uncategorized,
"salmonella
",Uncategorized,
"salmonella
",Uncategorized,
"salmonella
",Uncategorized,
necropsy,Uncategorized,
necropsy,Uncategorized,
"ADDL,Aerobic cultures (3)",Uncategorized,
"ADDL,Aerobic cultures (3)",Uncategorized,
"ADDL,Aerobic cultures (3)",Uncategorized,
"ADDL,Aerobic cultures (3)",Uncategorized,
"ADDL,Aerobic cultures (3)",Uncategorized,
"ADDL,Aerobic cultures (3)",Uncategorized,
dog attack   ***ICU 12/28***,Uncategorized,Wound Care
dog attack   ***ICU 12/28***,Uncategorized,Wound Care
dog attack   ***ICU 12/28***,Uncategorized,Wound Care
kidney failure,Uncategorized,Urinary Issues
kidney failure,Uncategorized,Urinary Issues
"bleeding, not moving",Uncategorized,Hematologic Issues
Stint   Referral see paperwork *ICU 1/1*,Uncategorized,
1 degree glaucoma OD- enucleated sx *ICU 1/3/14*,Uncategorized,HEENT
1 degree glaucoma OD- enucleated sx *ICU 1/3/14*,Uncategorized,HEENT
"Aerobic culture, ADDL",Uncategorized,
"Aerobic culture, ADDL",Uncategorized,
"Aerobic culture, ADDL",Uncategorized,
urinating in the house,Uncategorized,Urinary Issues
urinating in the house,Uncategorized,Urinary Issues
REF. EMG.  trouble breathing abnormal chest rads *ICU 1/6/14*,Uncategorized,Respiratory Issues
Staple removal from hemilaminectomy at L1-L2,Uncategorized,Musculoskeletal Issues
Staple removal from hemilaminectomy at L1-L2,Uncategorized,Musculoskeletal Issues
drinking alot of water,Uncategorized,
drinking alot of water,Uncategorized,
Wants ultrasound,Uncategorized,
Wants ultrasound,Uncategorized,
DKA *ICU 1/16/14*,Uncategorized,
DKA *ICU 1/16/14*,Uncategorized,
Unable to urinate - had surgery at VTH last March  *ICU 1/14**,Uncategorized,Urinary Issues
Unable to urinate - had surgery at VTH last March  *ICU 1/14**,Uncategorized,Urinary Issues
BGC,Uncategorized,
BGC,Uncategorized,
Irrigation and debridement of poll.,Uncategorized,
Irrigation and debridement of poll.,Uncategorized,
Irrigation and debridement of poll.,Uncategorized,
Irrigation and debridement of poll.,Uncategorized,
