Organism,Count,R,S,I,NI,NA_Count,Drug,Dominant_Category
NEISSERIA SP.,24,0,23,1,0,0,Amikacin,S
NEISSERIA ZOODEGMATIS,9,0,9,0,0,0,Amikacin,S
PSEUDOMONAS ALCALIGENES,4,0,4,0,0,0,Amikacin,S
AEROMONAS HYDROPHILIA,4,0,4,0,0,0,Amikacin,S
AEROMONAS SP.,6,0,6,0,0,0,Amikacin,S
BORDETELLA BRONCHISEPTICA,46,0,45,0,0,1,Amikacin,S
CHRONOBACTER SAKAZAKII GROUP,1,0,1,0,0,0,Amikacin,S
RAOULTELLA ORNITHINOLYTICA,5,0,5,0,0,0,Amikacin,S
PROVIDENCIA RETTGERI,12,1,11,0,0,0,Amikacin,S
ENTEROCOCCUS FAECIUM,296,155,1,0,133,7,Amikacin,R
ROTHIA MUCILAGINOSA,3,0,3,0,0,0,Amikacin,S
ENTEROCOCCUS GALLINARUM,5,4,0,0,1,0,Amikacin,R
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE GROUP,407,21,350,0,13,23,Amikacin,S
ENTEROCOCCUS FAECALIS,612,301,0,0,301,10,Amikacin,Tie
SALMONELLA SP. GROUP B,18,0,5,1,0,12,Amikacin,S
SALMONELLA SP. GROUP C2,9,1,4,0,0,4,Amikacin,S
SERRATIA MARCESCENS,58,0,55,2,0,1,Amikacin,S
PANTOEA AGGLOMERANS,18,0,17,0,0,1,Amikacin,S
SPHINGOMONAS PAUCIMOBILIS,7,0,7,0,0,0,Amikacin,S
ACHROMOBACTER XYLO SS DENITRIFICANS,3,0,3,0,0,0,Amikacin,S
ALPHA STREP NOT SUIS,2,1,0,0,0,1,Amikacin,R
ENTEROCOCCUS DURANS,3,3,0,0,0,0,Amikacin,R
MANNHEIMIA HAEMOLYTICA,18,0,0,0,0,18,Amikacin,Tie
PASTEURELLA SP.,16,0,13,0,3,0,Amikacin,S
STREPTOCOCCUS NON-HEMOLYTIC,41,3,35,3,0,0,Amikacin,S
SALMONELLA SP. GROUP C1,14,1,7,0,0,6,Amikacin,S
BURKHOLDERIA CEPACIA GROUP,2,0,2,0,0,0,Amikacin,S
ENTEROCOCCUS AVIUM,16,12,0,0,4,0,Amikacin,R
ENTEROBACTER AEROGENES,33,0,30,2,0,1,Amikacin,S
ENTEROCOCCUS HIRAE,9,7,0,0,1,1,Amikacin,R
BREVUNDIMONAS VESICULARIS,1,0,1,0,0,0,Amikacin,S
SALMONELLA SP. GROUP E1,38,2,9,1,0,26,Amikacin,S
STAPHYLOCOCCUS COAGULASE POSITIVE GROUP,8,3,5,0,0,0,Amikacin,S
RHODOCOCCUS EQUI,16,0,13,0,2,1,Amikacin,S
HAEMOPHILUS SP.,6,1,3,0,2,0,Amikacin,S
PSEUDOMONAS SP.,16,0,14,0,0,2,Amikacin,S
KLEBSIELLA PNEUMONIAE SS PNEUMONIAE,1,1,0,0,0,0,Amikacin,R
ACINETOBACTERER SP.,32,2,28,1,0,1,Amikacin,S
STREPTOCOCCUS BETA GROUP - B,16,6,7,3,0,0,Amikacin,S
STREPTOCOCCUS BETA GROUP - C,23,1,17,1,3,1,Amikacin,S
LACTOBACILLUS ACIDOPHILUS,1,1,0,0,0,0,Amikacin,R
CITROBACTER AMALONATICUS,4,1,3,0,0,0,Amikacin,S
AEROMONAS CAVIAE,6,0,6,0,0,0,Amikacin,S
STREPTOCOCCUS EQUI SSP EQUI,43,11,20,3,9,0,Amikacin,S
STREPTOCOCCUS DYS. SS EQUISIMILIS,14,0,12,2,0,0,Amikacin,S
ENTEROBACTER CLOACAE,136,4,115,5,0,12,Amikacin,S
STAPHYLOCOCCUS CHROMOGENES,5,0,2,0,0,3,Amikacin,S
BRANHAMELLA OVIS,1,0,0,0,0,1,Amikacin,Tie
STREPTOCOCCUS SUIS V,1,0,0,0,0,1,Amikacin,Tie
STENOTROPHOMONAS MALTOPHILIA,19,16,0,0,3,0,Amikacin,R
STAPHYLOCOCCUS SCHLEIFERI SS COAGULANS,9,3,6,0,0,0,Amikacin,S
ACHROMOBACTER SP.,2,0,2,0,0,0,Amikacin,S
CITROBACTER FREUNDII,18,0,17,0,0,1,Amikacin,S
ESCHERICHIA COLI- LACTOSE NEG.,1,0,0,0,0,1,Amikacin,Tie
PROVIDENCIA STUARTII,5,0,4,0,0,1,Amikacin,S
ACHROMOBACTER XYLO SS XYLOSOXIDANS,1,1,0,0,0,0,Amikacin,R
MYROIDES SP.,2,1,1,0,0,0,Amikacin,Tie
GRAMNEGATIVE ORGANISM,11,1,9,0,1,0,Amikacin,S
SALMONELLA SP. GROUP E4,3,0,1,0,0,2,Amikacin,S
GRAMPOSITIVE ROD,4,0,3,0,0,1,Amikacin,S
CRONOBACTER SAKAZAKII GROUP,1,0,1,0,0,0,Amikacin,S
NEISSERIA ANIMALORIS,9,0,9,0,0,0,Amikacin,S
STREPTOCOCCUS SP. - NON HEMOLYTIC,1,0,1,0,0,0,Amikacin,S
CORYNEBACTERIUM RENALE,1,0,0,0,0,1,Amikacin,Tie
TRUEPERELLA PYOGENES,64,0,2,0,2,60,Amikacin,Tie
ESCHERICHIA FERGUSONII,2,0,2,0,0,0,Amikacin,S
PANTOEA SP.,18,0,18,0,0,0,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI,116,2,45,0,65,4,Amikacin,NI
STAPHYLOCOCCUS SP. COAG CULTURE NEGATIVE,1,0,1,0,0,0,Amikacin,S
ENTEROBACTER ASBURIAE,23,1,22,0,0,0,Amikacin,S
PSEUDOMONAS FLUORESCENS,2,0,2,0,0,0,Amikacin,S
STREPTOCOCCUS BETA HAEMOLYTIC,5,0,4,0,1,0,Amikacin,S
ENTEROBACTER CANCEROGENUS,1,0,1,0,0,0,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI SS SCHLEIFERI,1,1,0,0,0,0,Amikacin,R
STAPHYLOCOCCUS HYICUS,5,0,0,0,0,5,Amikacin,Tie
SERRATIA LIQUEFACIENS,2,0,2,0,0,0,Amikacin,S
BIBERSTEINIA TREHALOSI,12,0,0,0,0,12,Amikacin,Tie
STREPTOCOCCUS UBERIS,6,0,0,0,1,5,Amikacin,NI
"STAPHYLOCOCCUS SCHLEIFERI, COAGULASE POSITIVE",2,0,2,0,0,0,Amikacin,S
CITROBACTER BRAAKII,5,0,5,0,0,0,Amikacin,S
ACTINOBACILLUS SP.,13,0,11,2,0,0,Amikacin,S
ENTEROBACTER AMNIGENUS,2,0,2,0,0,0,Amikacin,S
STAPHYLOCOCCUS INTERMEDIUS,10,1,9,0,0,0,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI - COAG POS,37,2,35,0,0,0,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI - COAG NEG,58,3,55,0,0,0,Amikacin,S
SALMONELLA SP.,81,22,19,0,0,40,Amikacin,R
COAGULASE NEATIVE STAPHYLOCOCCUS,1,0,1,0,0,0,Amikacin,S
SALMONELLA SP.(POLY A),6,0,4,0,0,2,Amikacin,S
RHIZOBIUM RADIOBACTER,3,0,2,0,0,1,Amikacin,S
KLUYVERA ASCORBATA,1,0,1,0,0,0,Amikacin,S
HAFNIA ALVEI,2,0,2,0,0,0,Amikacin,S
STAPHYLOCOCCUS SACCHAROLYTICUS,1,0,1,0,0,0,Amikacin,S
RAOULTELLA PLANTICOLA,1,0,1,0,0,0,Amikacin,S
COMAMONAS TESTOSTERONI,1,0,1,0,0,0,Amikacin,S
SERRATIA RUBIDAEA,1,0,1,0,0,0,Amikacin,S
CITROBACTER SP.,2,0,2,0,0,0,Amikacin,S
PEDIOCOCCUS SP.,1,0,1,0,0,0,Amikacin,S
ACTINOMYCES CANIS,20,3,12,1,4,0,Amikacin,S
GRAMPOSITIVE COCCUS,8,0,4,0,3,1,Amikacin,S
ROTHIA NASIMURIUM,14,0,9,0,3,2,Amikacin,S
STAPHYLOCOCCUS WARNERI,1,0,1,0,0,0,Amikacin,S
ACINETOBACTERER LWOFFI,4,0,3,0,0,1,Amikacin,S
MICROCOCCUS LUTEUS,14,0,14,0,0,0,Amikacin,S
STREPTOCOCCUS DYS SS DYSGALACTIAE,11,0,8,1,0,2,Amikacin,S
ACTINOBACILLUS UREAE,6,0,6,0,0,0,Amikacin,S
ENTEROCOCCUS CANINTESTINI,15,14,0,0,1,0,Amikacin,R
ENTEROCOCCUS CANIS,4,2,0,0,2,0,Amikacin,Tie
HISTOPHILUS SOMNI,7,0,0,0,0,7,Amikacin,Tie
CORYNEBACTERIUM AURISCANIS,72,0,28,0,41,3,Amikacin,NI
BACILLUS CEREUS,20,0,18,0,0,2,Amikacin,S
STREPTOCOCCUS AGALACTIAE,10,3,2,2,3,0,Amikacin,Tie
NEISSERIA FLAVESCENS,2,0,2,0,0,0,Amikacin,S
ESCHERICHIA HERMANNII,3,0,3,0,0,0,Amikacin,S
HAEMOPHILUS HAEMOGLOBINOPHILUS,22,0,18,0,3,1,Amikacin,S
PASTEURELLA DAGMATIS,22,0,11,0,11,0,Amikacin,Tie
ACTINOMYCES SP.,22,0,13,0,9,0,Amikacin,S
MORAXELLA SPP,2,0,1,0,0,1,Amikacin,S
PSEUDOMONAS KOREENSIS,2,0,1,0,0,1,Amikacin,S
STREPTOCOCCUS PNEUMONIAE,10,1,2,1,6,0,Amikacin,NI
STREPTOCOCCUS SP.,17,0,4,0,12,1,Amikacin,NI
SPHINGOMONAS PARAPAUCIMOBILIS,1,0,1,0,0,0,Amikacin,S
LISTERIA MONOCYTOGENES,2,0,0,0,0,2,Amikacin,Tie
BACILLUS LICHENIFORMIS,7,0,7,0,0,0,Amikacin,S
AEROMONAS HYDROPHILA SS HYDROPHILA,3,0,3,0,0,0,Amikacin,S
METHYLOBACTERIUM SP.,1,0,1,0,0,0,Amikacin,S
AEROMONAS SOBRIA,3,0,1,0,0,2,Amikacin,S
SHEWANELLA PUTREFACIENS,3,0,2,0,0,1,Amikacin,S
STREPTOCOCCUS DYSGALACTIAE,28,3,15,1,5,4,Amikacin,S
PASTEURELLA STOMATIS,4,0,2,0,2,0,Amikacin,Tie
ACINETOBACTERER BAUMANNII,10,0,7,1,0,2,Amikacin,S
CORYNEBACTERIUM PSEUDOTUBERCULOSIS,10,0,3,0,0,7,Amikacin,S
GALLIBACTERIUM ANATIS,1,0,1,0,0,0,Amikacin,S
MORAXELLA BOVIS,2,0,0,0,0,2,Amikacin,Tie
ENTEROBACTER SP.,22,1,19,1,0,1,Amikacin,S
AEROMONAS VERONII,5,0,5,0,0,0,Amikacin,S
NEISSERIA WEAVERI,8,0,8,0,0,0,Amikacin,S
STREPTOCOCCUS GP. B,1,0,0,1,0,0,Amikacin,I
CORYNEBACTERIUM ULCERANS,9,0,4,0,4,1,Amikacin,Tie
CORYNEBACTERIUM UREALYTICUM,10,0,1,0,9,0,Amikacin,NI
AEROMONAS HYDROPHILA,2,0,2,0,0,0,Amikacin,S
CORYNEBACTERIUM AMYCOLATUM,29,0,8,0,20,1,Amikacin,NI
KLEBSIELLA SP.,7,0,7,0,0,0,Amikacin,S
ENTEROBACTER LUDWIGII,10,0,10,0,0,0,Amikacin,S
STREPTOCOCCUS DYSGALACT. SS EQUISIMILIS,1,0,1,0,0,0,Amikacin,S
STREPTOCOCCUS GROUP C,1,0,1,0,0,0,Amikacin,S
BACILLUS SIMPLEX,1,0,1,0,0,0,Amikacin,S
BURKHOLDERIA CEPACIA,2,2,0,0,0,0,Amikacin,R
PSEUDOMONAS FULVA,5,0,5,0,0,0,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI COAG POSITIVE,1,0,1,0,0,0,Amikacin,S
ACTINOBACILLUS ROSSII,7,0,7,0,0,0,Amikacin,S
GRAMPOSITIVE ORGANISM,3,0,3,0,0,0,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI COAG NEG,1,0,1,0,0,0,Amikacin,S
BACILLUS MEGATERIUM,10,0,9,0,0,1,Amikacin,S
BACILLUS THURINGIENSIS,6,0,4,0,0,2,Amikacin,S
OCHROBACTRUM INTERMEDIUM,2,0,2,0,0,0,Amikacin,S
BERGEYELLA ZOOHELCUM,2,0,1,1,0,0,Amikacin,Tie
ROTHIA SP.,6,0,5,0,0,1,Amikacin,S
KLEBSIELLA VARIICOLA,16,0,15,0,0,1,Amikacin,S
CITROBACTER SEDLAKII,5,0,4,1,0,0,Amikacin,S
BACILLUS PUMILUS,5,0,4,0,0,1,Amikacin,S
EIKENELLA CORRODENS,3,0,3,0,0,0,Amikacin,S
MORAXELLA BOVOCULI,5,0,0,0,0,5,Amikacin,Tie
PSEUDOMONAS OTITIDIS,1,0,0,0,0,1,Amikacin,Tie
MANNHEIMIA VARIGENA,1,0,0,0,0,1,Amikacin,Tie
STAPHYLOCOCCUS DELPHINI,11,0,9,0,2,0,Amikacin,S
STREPTOCOCCUS MINOR,5,0,4,0,1,0,Amikacin,S
CORYNEBACTERIUM AURICANIS,2,0,2,0,0,0,Amikacin,S
CAPNOCYTOPHAGA OCHRACEA,1,0,1,0,0,0,Amikacin,S
MICROBACTERIUM PARAOXYDANS,2,0,2,0,0,0,Amikacin,S
AEROCOCCUS VIRIDANS,5,0,3,0,1,1,Amikacin,S
UNIDENTIFIED,1,0,1,0,0,0,Amikacin,S
STREPTOCOCCUS HALICHOERI,10,1,6,1,2,0,Amikacin,S
LACTOBACILLUS SP.,2,1,1,0,0,0,Amikacin,Tie
CORYNEBACTERIUM BOVIS,3,1,0,0,2,0,Amikacin,NI
RAOULTELLA TERRIGENA,1,0,1,0,0,0,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI COAGULASE CULTURE NEGATIVE,1,0,1,0,0,0,Amikacin,S
STREPTOCOCCUS GALLOLYTICUS,8,0,3,1,4,0,Amikacin,NI
ENTEROCOCCUS CASSELIFLAVUS,5,4,0,0,0,1,Amikacin,R
PROTEUS HAUSERI,17,0,16,0,0,1,Amikacin,S
STAPHYLOCOCCUS AUREUS,144,3,56,4,64,17,Amikacin,NI
DELFTIA ACIDOVORANS,2,2,0,0,0,0,Amikacin,R
SALMONELLA SP. GROUP D,10,0,7,0,0,3,Amikacin,S
AVIBACTERIUM ENDOCARDITIDIS,1,0,0,0,0,1,Amikacin,Tie
PLURALIBACTER GERGOVIAE,3,0,1,0,2,0,Amikacin,NI
KOCURIA VARIANS,1,0,1,0,0,0,Amikacin,S
CHRYSEOBACTERIUM GLEUM,2,0,1,1,0,0,Amikacin,Tie
AEROMONAS MEDIA,1,0,1,0,0,0,Amikacin,S
KOCURIA ROSEA,1,0,1,0,0,0,Amikacin,S
ESCHERICHIA VULNERIS,2,0,2,0,0,0,Amikacin,S
SALMONELLA SP. GROUP 18,3,0,0,0,0,3,Amikacin,Tie
PSEUDOMONAS ORYZIHABITANS,2,0,2,0,0,0,Amikacin,S
ARCANOBACTERIUM CANIS,4,1,3,0,0,0,Amikacin,S
STREPTOCOCCUS LUTIENSIS,1,0,0,0,0,1,Amikacin,Tie
LACTOBACILLUS SALIVARIUS,1,0,1,0,0,0,Amikacin,S
CORYNEBACTERIUM DIPTHERIAE,1,0,1,0,0,0,Amikacin,S
CANIBACTER ORIS,2,0,2,0,0,0,Amikacin,S
LACTOBACILLUS JOHNSONII,1,0,1,0,0,0,Amikacin,S
LACTOBACILLUS REUTERI,2,2,0,0,0,0,Amikacin,R
MORAXELLA OSLOENSIS,1,0,1,0,0,0,Amikacin,S
LEUCONOSTOC LACTIS,1,0,1,0,0,0,Amikacin,S
STREPTOCOCCUS LUTETIENSIS,2,1,1,0,0,0,Amikacin,Tie
BACILLUS SUBTILIS,1,0,1,0,0,0,Amikacin,S
STAPHYLOCOCCUS COAGULASE CULTURE NEGATIVE SP.,1,0,1,0,0,0,Amikacin,S
PAENIBACILLUS HUMICUS,1,0,1,0,0,0,Amikacin,S
MORAXELLA CANIS,7,0,6,0,0,1,Amikacin,S
CAPNOCYTOPHAGA SP.,2,0,2,0,0,0,Amikacin,S
BACILLUS MYCOIDES,1,0,1,0,0,0,Amikacin,S
MORGANELLA MORGANI,2,0,2,0,0,0,Amikacin,S
PEDIOCOCCUS ACIDILACTICI,1,0,1,0,0,0,Amikacin,S
WEISELLA SP.,2,0,2,0,0,0,Amikacin,S
LYSINIBACILLUS SP.,1,0,1,0,0,0,Amikacin,S
MICROBACTERIUM PARAOXYDAS,1,0,1,0,0,0,Amikacin,S
STREPTOCOCCUS SP. GP. C,1,0,1,0,0,0,Amikacin,S
ARCANOBACTERIUM SP.,11,0,6,0,4,1,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI-COAG CULTURE NEGATIVE,1,0,1,0,0,0,Amikacin,S
STAPHYLOCOCCUS SCHLEIFERI-COAG POSITIVE,1,0,1,0,0,0,Amikacin,S
DERMACOCCUS SP.,1,0,1,0,0,0,Amikacin,S
HAEMOPHILUS HAEMOGLOBINOPHILIS,1,1,0,0,0,0,Amikacin,R
ENTEROCOCCUS MUNDTII,2,2,0,0,0,0,Amikacin,R
STREPTOCOCCUS MITIS,2,0,1,0,1,0,Amikacin,Tie
KOCURIA SP.,1,0,1,0,0,0,Amikacin,S
LELLIOTTIA AMNIGENA,1,0,1,0,0,0,Amikacin,S
ACINETOBACTERER JUNII,2,0,1,0,0,1,Amikacin,S
KOCURIA KRISTINAE,1,0,1,0,0,0,Amikacin,S
MACROCOCCUS CASEOLYTICUS,1,0,1,0,0,0,Amikacin,S
PASTEURELLA MAIRII,1,0,0,0,0,1,Amikacin,Tie
STAPHYLOCOCCUS COAG CULTURE NEGATIVE,1,0,1,0,0,0,Amikacin,S
SERRATIA FONTICOLA,2,0,2,0,0,0,Amikacin,S
LEUCONOSTOC SP.,1,0,1,0,0,0,Amikacin,S
LYSINIBACILLUS FUSIFORMIS,1,0,1,0,0,0,Amikacin,S
GRAMNEGATIVE COCCI,1,0,1,0,0,0,Amikacin,S
BREVIBACTERIUM SP.,1,0,1,0,0,0,Amikacin,S
STREPTOCOCCUS ANGINOSUS,1,0,1,0,0,0,Amikacin,S
STREPTOCOCCUS SUIS 2/4/33/34,1,0,0,0,0,1,Amikacin,Tie
PAENIBACILLUS SP.,7,0,7,0,0,0,Amikacin,S
GRAMPOSITIVE BRANCHING ROD,2,0,2,0,0,0,Amikacin,S
CHRYSEOBACTERIUM SP.,2,0,2,0,0,0,Amikacin,S
ACTINOBACILLUS EQUULI,9,0,6,0,2,1,Amikacin,S
STAPHYLOCOCCUS HOMINIS SS HOMINIS,1,0,1,0,0,0,Amikacin,S
TRUEPERELLA BERNARDIAE,3,0,1,0,2,0,Amikacin,NI
CITROBACTER FARMERI,2,0,2,0,0,0,Amikacin,S
ENTEROCOCCUS CANINESTINI,1,0,0,0,1,0,Amikacin,NI
STREPTOCOCCUS DYS. SS DYSGALACTIAE,11,0,0,1,9,1,Amikacin,NI
SALMONELLA GROUP - C1,1,0,0,0,0,1,Amikacin,Tie
VIBRIO CHOLERAE,1,0,0,0,0,1,Amikacin,Tie
GEMELLA CUNICULIS,1,0,0,0,0,1,Amikacin,Tie
SALMONELLA GROUP - C2,1,1,0,0,0,0,Amikacin,R
PSEUDOMONAS LUTEOLA,1,0,1,0,0,0,Amikacin,S
STENOTROPHOMONAS SP.,1,0,0,0,1,0,Amikacin,NI
STREPTOCOCCUS SUIS,1,0,0,0,0,1,Amikacin,Tie
STREPTOCOCCUS SUIS 16,1,0,0,0,0,1,Amikacin,Tie
AEROMONAS HYDROPHILA/CAVIAE,2,0,0,0,1,1,Amikacin,NI
PROVIDENCIA ALCALIFACIENS,1,0,1,0,0,0,Amikacin,S
STAPHYLOCOCCUS FELIS,32,0,6,0,25,1,Amikacin,NI
YOKENELLA REGENSBURGEI,1,0,1,0,0,0,Amikacin,S
KLEBSIELLA AEROGENES,2,0,2,0,0,0,Amikacin,S
GRANULICATELLA ADIACENS,1,0,0,0,1,0,Amikacin,NI
CORYNEBACTERIUM XEROSIS,1,0,0,0,1,0,Amikacin,NI
CORYNEBACTERIUM PROPINQUUM,1,0,0,0,1,0,Amikacin,NI
KLEBSIELLA (ENTEROBACTER) AEROGENES,1,0,1,0,0,0,Amikacin,S
CAPNOCYTOPHAGA CYNODEGMI,2,0,0,0,2,0,Amikacin,NI
ALCALIGENES SP.,1,0,1,0,0,0,Amikacin,S
ACTINOBACILLUS PLEUROPNEUMONIAE,3,0,1,2,0,0,Amikacin,I
ACTINOBACILLUS EQUULI SS HAEMOLYTICUS,1,0,1,0,0,0,Amikacin,S
ENTEROBACTER HORMAECHEI,38,3,24,3,0,8,Amikacin,S
ACTINOMYCES HYOVAGINALIS,6,0,0,0,0,6,Amikacin,Tie
AEROMONAS HYDROPHILA COMPLEX,2,0,0,0,1,1,Amikacin,NI
STREPTOCOCCUS SUIS XXXIV,2,0,0,0,0,2,Amikacin,Tie
HAEMOPHILUS HAEMOLYTICUS,1,0,0,0,1,0,Amikacin,NI
AEROMONAS HYDROPHILA /CAVIAE,1,0,0,0,1,0,Amikacin,NI
ESCHERICHIA COLI - HAEMOLYTIC,1,0,0,0,0,1,Amikacin,Tie
KOSAKONIA COWANII,1,0,0,0,1,0,Amikacin,NI
TRUEPERELLA ABORTISUIS,4,0,0,0,3,1,Amikacin,NI
ERYSIPELOTHRIX RHUSIOPATHIAE,1,0,0,0,0,1,Amikacin,Tie
OCHROBACTRUM ANTHROPI,1,0,1,0,0,0,Amikacin,S
CURTOBACTERIUM SP.,1,0,0,0,0,1,Amikacin,Tie
MORAXELLAPLURANIMA,2,0,0,0,0,2,Amikacin,Tie
STREPTOCOCCUS SUIS XIII,1,0,0,0,0,1,Amikacin,Tie
STAPHYLOCOCCUS COAGULASE-CULTURE NEGATIVE,33,0,0,1,27,5,Amikacin,NI
NEISSERIA MUCOSA,1,0,1,0,0,0,Amikacin,S
TRUEPERELLA PYOGENES (ACTINOMYCES/CORYNEBACTERIUM),37,0,0,0,4,33,Amikacin,NI
STREPTOCOCCUS EQUI SPP ZOOEPIDEMICUS,95,61,7,5,13,9,Amikacin,R
GALLIBACTERIUM ANATIS (PASTEURELLA),1,0,0,0,0,1,Amikacin,Tie
MORAXELLA OVIS,2,0,0,0,0,2,Amikacin,Tie
KLEBSIELLA AEROGENES (ENTEROBACTER),23,0,23,0,0,0,Amikacin,S
STREPTOCOCCUS SP. ALPHA HEMOLYTIC,15,0,1,0,13,1,Amikacin,NI
STREPTOCOCCUS PORCINUS,4,0,0,0,0,4,Amikacin,Tie
MORGANELLA MORGANII (PROTEUS),3,0,2,0,0,1,Amikacin,S
MORGANELLA MORGANII,1,0,1,0,0,0,Amikacin,S
STREPTOCOCCUS EQUI,5,4,0,1,0,0,Amikacin,R
ENTEROCOCUS FAECALIS,1,0,0,0,0,1,Amikacin,Tie
NOCARDIA SP,1,0,0,0,1,0,Amikacin,NI
SALMONELLA SP. GROUP C1/C2,1,0,0,0,0,1,Amikacin,Tie
SALMONELLA SP. GROUP E1/E4,1,0,0,0,0,1,Amikacin,Tie
CORYNEBACTERIUM RESISTENS,2,0,0,0,2,0,Amikacin,NI
SERRATIA SP.,1,0,1,0,0,0,Amikacin,S
ENTEROBACTER BUGANDENSIS,7,0,7,0,0,0,Amikacin,S
SALMONELLA SP. E1,1,0,0,0,0,1,Amikacin,Tie
LACTOBACILLUS MURINUS,1,0,0,0,1,0,Amikacin,NI
BORDETELLA HINZII,1,0,1,0,0,0,Amikacin,S
RHODOCOCCUS SP.,1,0,0,0,1,0,Amikacin,NI
BURKHOLDERIA MULTIVORANS,1,0,0,0,1,0,Amikacin,NI
SALMONELLA GROUP C1,1,0,0,0,0,1,Amikacin,Tie
ACTINOBACILLUS EQUULI SPP EQUULI,2,0,2,0,0,0,Amikacin,S
ENTEROBACTER KOBEI,1,0,1,0,0,0,Amikacin,S
STENOTROPHOMONAS MALTOPHILIA (XANTHOMONAS),3,1,1,0,0,1,Amikacin,Tie
PANTOEA AGGLOMERANS (ENTEROBACTER),1,0,1,0,0,0,Amikacin,S
BUCHANANELLA HORDEOVULNERIS,2,0,0,0,2,0,Amikacin,NI
ACTINOMYCES BOWDENII,3,0,0,0,3,0,Amikacin,NI
ARCANOBACTERIUM HAEMOLYTICUM,1,0,0,0,1,0,Amikacin,NI
PSEUDOMONAS ALCALIPHILA,1,0,1,0,0,0,Amikacin,S
SCHAALIA (ACTINOMYCES) CANIS,1,0,0,0,1,0,Amikacin,NI
STREPTOCOCCUS DIDELPHIS,1,0,0,0,1,0,Amikacin,NI
