"Organism","Antibiotic","R_count","NI_count","Blank_count","Category"
"Achromobacter sp.","Tildipirosin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Tilmicosin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Tobramycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Trimethoprim",0,0,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Tulathromycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Tylosin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Vancomycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Amikacin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Amoxicillin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Ampicillin",1,0,0,"R Dominant"
"Achromobacter xylo ss denitrificans","Azithromycin",0,1,2,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Bacitracin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","CTZD",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Cefalexin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Cefazolin",3,0,0,"R Dominant"
"Achromobacter xylo ss denitrificans","Cefiofur",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Cefovecin",2,0,1,"R Dominant"
"Achromobacter xylo ss denitrificans","Cefoxitin",2,0,1,"R Dominant"
"Achromobacter xylo ss denitrificans","Cefpodoxime",2,0,1,"R Dominant"
"Achromobacter xylo ss denitrificans","Ceftazidime",0,0,2,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Ceftiofur",3,0,0,"R Dominant"
"Achromobacter xylo ss denitrificans","Cephalexin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Cephalothin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Chloramphenicol",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Chlortetracycline",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Ciprofloxacin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Clarithromycin",0,1,2,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Clindamycin",2,0,1,"R Dominant"
"Achromobacter xylo ss denitrificans","Danofloxacin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Doxycycline",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Enrofloxacin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Erythromycin",2,0,0,"R Dominant"
"Achromobacter xylo ss denitrificans","Florfenicol",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Gamithromycin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Gentamicin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Imipenem",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Marbofloxacin",0,2,1,"NI Dominant"
"Achromobacter xylo ss denitrificans","Minocycline",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Moxifloxacin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Neomycin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Nitrofurantoin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Novobiocin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","OXYT",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Ofloxacin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Orbifloxacin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Oxacillin",2,0,0,"R Dominant"
"Achromobacter xylo ss denitrificans","Oxytetracycline",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Penicillin",3,0,0,"R Dominant"
"Achromobacter xylo ss denitrificans","Pirlimycin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Pradofloxacin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Rifampin",1,2,0,"NI Dominant"
"Achromobacter xylo ss denitrificans","Spectinomycin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Streptomycin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Sulphadimethoxime",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Sulphadimethoxine",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Sulphathiazole",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Tetracycline",0,0,2,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Tiamulin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Ticarcillin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Tildipirosin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Tilmicosin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Tobramycin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Trimethoprim",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Tulathromycin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Tylosin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss denitrificans","Vancomycin",0,0,3,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Amikacin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Amoxicillin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Ampicillin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Azithromycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Bacitracin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","CTZD",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Cefalexin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Cefazolin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Cefiofur",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Cefovecin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Cefoxitin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Cefpodoxime",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Ceftazidime",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Ceftiofur",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Cephalexin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Cephalothin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Chloramphenicol",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Chlortetracycline",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Ciprofloxacin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Clarithromycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Clindamycin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Danofloxacin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Doxycycline",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Enrofloxacin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Erythromycin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Florfenicol",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Gamithromycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Gentamicin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Imipenem",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Marbofloxacin",0,1,0,"NI Dominant"
"Achromobacter xylo ss xylosoxidans","Minocycline",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Moxifloxacin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Neomycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Nitrofurantoin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Novobiocin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","OXYT",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Ofloxacin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Orbifloxacin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Oxacillin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Oxytetracycline",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Penicillin",1,0,0,"R Dominant"
"Achromobacter xylo ss xylosoxidans","Pirlimycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Pradofloxacin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Rifampin",0,1,0,"NI Dominant"
"Achromobacter xylo ss xylosoxidans","Spectinomycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Streptomycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Sulphadimethoxime",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Sulphadimethoxine",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Sulphathiazole",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Tetracycline",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Tiamulin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Ticarcillin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Tildipirosin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Tilmicosin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Tobramycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Trimethoprim",0,0,0,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Tulathromycin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Tylosin",0,0,1,"Mixed/Blank Dominant"
"Achromobacter xylo ss xylosoxidans","Vancomycin",0,0,1,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Amikacin",4,0,0,"R Dominant"
"Acinetobacter baumannii complex","Amoxicillin",0,0,4,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Ampicillin",4,0,1,"R Dominant"
"Acinetobacter baumannii complex","Azithromycin",0,3,3,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Bacitracin",1,0,5,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","CTZD",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Cefalexin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Cefazolin",6,0,0,"R Dominant"
"Acinetobacter baumannii complex","Cefiofur",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Cefovecin",2,0,4,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Cefoxitin",2,0,4,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Cefpodoxime",1,0,4,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Ceftazidime",0,0,3,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Ceftiofur",6,0,0,"R Dominant"
"Acinetobacter baumannii complex","Cephalexin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Cephalothin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Chloramphenicol",6,0,0,"R Dominant"
"Acinetobacter baumannii complex","Chlortetracycline",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Ciprofloxacin",1,0,5,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Clarithromycin",0,3,3,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Clindamycin",2,0,4,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Danofloxacin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Doxycycline",2,1,0,"R Dominant"
"Acinetobacter baumannii complex","Enrofloxacin",3,0,1,"R Dominant"
"Acinetobacter baumannii complex","Erythromycin",6,0,0,"R Dominant"
"Acinetobacter baumannii complex","Florfenicol",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Gamithromycin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Gentamicin",4,0,0,"R Dominant"
"Acinetobacter baumannii complex","Imipenem",0,0,1,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Marbofloxacin",0,2,4,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Minocycline",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Moxifloxacin",0,1,5,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Neomycin",0,0,5,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Nitrofurantoin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Novobiocin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","OXYT",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Ofloxacin",0,1,5,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Orbifloxacin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Oxacillin",5,0,1,"R Dominant"
"Acinetobacter baumannii complex","Oxytetracycline",1,0,5,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Penicillin",5,0,1,"R Dominant"
"Acinetobacter baumannii complex","Pirlimycin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Pradofloxacin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Rifampin",3,2,1,"R Dominant"
"Acinetobacter baumannii complex","Spectinomycin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Streptomycin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Sulphadimethoxime",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Sulphadimethoxine",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Sulphathiazole",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Tetracycline",3,0,3,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Tiamulin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Ticarcillin",3,0,0,"R Dominant"
"Acinetobacter baumannii complex","Tildipirosin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Tilmicosin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Tobramycin",1,0,5,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Trimethoprim",5,0,0,"R Dominant"
"Acinetobacter baumannii complex","Tulathromycin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Tylosin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacter baumannii complex","Vancomycin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Amikacin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Amoxicillin",3,1,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Ampicillin",6,3,0,"R Dominant"
"Acinetobacterer baumannii","Azithromycin",0,4,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Bacitracin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","CTZD",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Cefalexin",2,0,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Cefazolin",5,3,2,"R Dominant"
"Acinetobacterer baumannii","Cefiofur",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Cefovecin",1,3,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Cefoxitin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Cefpodoxime",1,3,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Ceftazidime",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Ceftiofur",4,2,4,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Cephalexin",0,2,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Cephalothin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Chloramphenicol",4,4,2,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Chlortetracycline",1,0,9,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Ciprofloxacin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Clarithromycin",0,4,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Clindamycin",1,1,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Danofloxacin",0,2,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Doxycycline",1,0,2,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Enrofloxacin",0,8,0,"NI Dominant"
"Acinetobacterer baumannii","Erythromycin",1,3,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Florfenicol",1,1,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Gamithromycin",0,1,9,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Gentamicin",6,0,0,"R Dominant"
"Acinetobacterer baumannii","Imipenem",0,0,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Marbofloxacin",0,3,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Minocycline",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Moxifloxacin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Neomycin",0,1,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Nitrofurantoin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Novobiocin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","OXYT",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Ofloxacin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Orbifloxacin",0,3,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Oxacillin",3,1,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Oxytetracycline",1,0,9,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Penicillin",4,2,4,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Pirlimycin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Pradofloxacin",0,2,7,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Rifampin",1,3,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Spectinomycin",1,1,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Streptomycin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Sulphadimethoxime",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Sulphadimethoxine",1,1,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Sulphathiazole",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Tetracycline",2,2,1,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Tiamulin",1,1,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Ticarcillin",0,0,6,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Tildipirosin",0,1,9,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Tilmicosin",1,1,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Tobramycin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Trimethoprim",7,0,0,"R Dominant"
"Acinetobacterer baumannii","Tulathromycin",0,2,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Tylosin",0,2,8,"Mixed/Blank Dominant"
"Acinetobacterer baumannii","Vancomycin",0,0,10,"Mixed/Blank Dominant"
"Acinetobacterer junii","Amikacin",0,0,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Amoxicillin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Ampicillin",0,0,0,"Mixed/Blank Dominant"
"Acinetobacterer junii","Azithromycin",0,1,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Bacitracin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","CTZD",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Cefalexin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Cefazolin",1,0,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Cefiofur",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Cefovecin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Cefoxitin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Cefpodoxime",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Ceftazidime",0,0,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Ceftiofur",1,0,0,"R Dominant"
"Acinetobacterer junii","Cephalexin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Cephalothin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Chloramphenicol",0,0,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Chlortetracycline",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Ciprofloxacin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Clarithromycin",0,1,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Clindamycin",1,0,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Danofloxacin",0,1,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Doxycycline",0,0,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Enrofloxacin",0,2,0,"NI Dominant"
"Acinetobacterer junii","Erythromycin",0,1,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Florfenicol",1,0,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Gamithromycin",0,1,1,"Mixed/Blank Dominant"
"Acinetobacterer junii","Gentamicin",0,0,0,"Mixed/Blank Dominant"
"Acinetobacterer junii","Imipenem",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Marbofloxacin",0,0,2,"Mixed/Blank Dominant"
"Acinetobacterer junii","Minocycline",0,0,2,"Mixed/Blank Dominant"
